5,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_473_processed.las,0.9999819549957594,8.48347947801642e-05,10196288,55417,10195423,1,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 27, 'voxel_size': 0.3}
6,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_474_processed.las,1.0,6.340573873486743e-05,15519100,15374,15518116,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 27, 'voxel_size': 0.3}
7,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_475_processed.las,1.0,6.117288153850708e-05,14336418,23505,14335541,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 27, 'voxel_size': 0.3}
8,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6168_458_processed.las,1.0,3.2756537038491906e-05,2014865,15314,2014799,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 27, 'voxel_size': 0.3}
9,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6204_505_processed.las,1.0,2.47878623753639e-05,12909544,10130,12909224,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 27, 'voxel_size': 0.3}
10,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6205_513_processed.las,0.9999843544652356,2.568159697402539e-05,10824872,63916,10824594,1,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 27, 'voxel_size': 0.3}
11,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6211_474_processed.las,0.9999681427206116,2.055026496006196e-05,5060762,31390,5060658,1,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 27, 'voxel_size': 0.3}
12,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6219_494_processed.las,1.0,6.880470230996583e-05,4374701,18363,4374400,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 27, 'voxel_size': 0.3}
13,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6220_495_processed.las,0.9999408563993376,5.754046608985597e-05,3302024,16908,3301834,1,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 27, 'voxel_size': 0.3}
14,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6221_452_processed.las,1.0,3.320209283863562e-05,361423,8753,361411,0,{'nb_neighbors': 13, 'path': '/home/nxw500/data/', 'std_ratio': 27, 'voxel_size': 0.3}
0,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6134_518_processed.las,1.0,1.6980885618522734e-05,2296700,10077,2296661,0,{'nb_neighbors': 7, 'path': '/home/nxw500/data/', 'std_ratio': 31, 'voxel_size': 0.5}
1,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6146_468_processed.las,1.0,2.1647573506866635e-05,6005292,79250,6005162,0,{'nb_neighbors': 7, 'path': '/home/nxw500/data/', 'std_ratio': 31, 'voxel_size': 0.5}
2,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6161_465_processed.las,1.0,7.172991906556625e-06,6970592,6723,6970542,0,{'nb_neighbors': 7, 'path': '/home/nxw500/data/', 'std_ratio': 31, 'voxel_size': 0.5}
3,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6162_472_processed.las,1.0,9.738095347733289e-05,7383374,67601,7382655,0,{'nb_neighbors': 7, 'path': '/home/nxw500/data/', 'std_ratio': 31, 'voxel_size': 0.5}
4,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6163_472_processed.las,1.0,5.7221459220047066e-05,11254519,59940,11253875,0,{'nb_neighbors': 7, 'path': '/home/nxw500/data/', 'std_ratio': 31, 'voxel_size': 0.5}
5,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_473_processed.las,1.0,7.84599258083496e-05,10196288,55417,10195488,0,{'nb_neighbors': 7, 'path': '/home/nxw500/data/', 'std_ratio': 31, 'voxel_size': 0.5}
6,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_474_processed.las,1.0,5.986171878524793e-05,15519100,15374,15518171,0,{'nb_neighbors': 7, 'path': '/home/nxw500/data/', 'std_ratio': 31, 'voxel_size': 0.5}
7,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_475_processed.las,0.9999574558604553,5.8592041610405765e-05,14336418,23505,14335578,1,{'nb_neighbors': 7, 'path': '/home/nxw500/data/', 'std_ratio': 31, 'voxel_size': 0.5}
8,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6168_458_processed.las,1.0,3.077129236950249e-05,2014865,15314,2014803,0,{'nb_neighbors': 7, 'path': '/home/nxw500/data/', 'std_ratio': 31, 'voxel_size': 0.5}
9,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6204_505_processed.las,1.0,2.47878623753639e-05,12909544,10130,12909224,0,{'nb_neighbors': 7, 'path': '/home/nxw500/data/', 'std_ratio': 31, 'voxel_size': 0.5}
10,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6205_513_processed.las,1.0,2.568159697402539e-05,10824872,63916,10824594,0,{'nb_neighbors': 7, 'path': '/home/nxw500/data/', 'std_ratio': 31, 'voxel_size': 0.5}
11,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6211_474_processed.las,0.9999681427206116,2.074786366168535e-05,5060762,31390,5060657,1,{'nb_neighbors': 7, 'path': '/home/nxw500/data/', 'std_ratio': 31, 'voxel_size': 0.5}
12,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6219_494_processed.las,1.0,6.903328936080921e-05,4374701,18363,4374399,0,{'nb_neighbors': 7, 'path': '/home/nxw500/data/', 'std_ratio': 31, 'voxel_size': 0.5}
13,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6220_495_processed.las,1.0,5.360348683114413e-05,3302024,16908,3301847,0,{'nb_neighbors': 7, 'path': '/home/nxw500/data/', 'std_ratio': 31, 'voxel_size': 0.5}
14,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6221_452_processed.las,1.0,3.320209283863562e-05,361423,8753,361411,0,{'nb_neighbors': 7, 'path': '/home/nxw500/data/', 'std_ratio': 31, 'voxel_size': 0.5}
0,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6134_518_processed.las,1.0,1.611007097135353e-05,2296700,10077,2296663,0,{'nb_neighbors': 8, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.3}
1,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6146_468_processed.las,0.99998738170347,1.765109839790835e-05,6005292,79250,6005186,1,{'nb_neighbors': 8, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.3}
2,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6161_465_processed.las,1.0,6.8860722303165645e-06,6970592,6723,6970544,0,{'nb_neighbors': 8, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.3}
3,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6162_472_processed.las,1.0,9.738095347733289e-05,7383374,67601,7382655,0,{'nb_neighbors': 8, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.3}
4,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6163_472_processed.las,0.9999833166499833,5.70437528250034e-05,11254519,59940,11253877,1,{'nb_neighbors': 8, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.3}
5,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_473_processed.las,0.9999819549957594,7.620420294129904e-05,10196288,55417,10195511,1,{'nb_neighbors': 8, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.3}
6,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_474_processed.las,1.0,5.799305372089503e-05,15519100,15374,15518200,0,{'nb_neighbors': 8, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.3}
7,/home/nxw500/data/new_las/PUNKTSKY_00005_1km_6167_475_processed.las,1.0,5.635996383479558e-05,14336418,23505,14335610,0,{'nb_neighbors': 8, 'path': '/home/nxw500/data/', 'std_ratio': 40, 'voxel_size': 0.3}
