7,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_475_height_filtered.laz,0.9676347840899412,0.08826256641675534,16146528,23482,14721394,760,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
8,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6168_458_height_filtered.laz,0.9988228369629194,0.33071448214768107,1643596,15291,1100035,18,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
9,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6204_505_height_filtered.laz,0.9546948123070795,0.5967553763397231,6777427,10043,2732961,455,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
10,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6205_513_height_filtered.laz,0.9900774367495375,0.4626246863132223,8371408,63794,4498588,633,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
11,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6211_474_height_filtered.laz,0.9966725323948168,0.0275345052012409,3029181,31255,2945774,104,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
12,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6219_494_height_filtered.laz,1.0,0.09136524843571547,3227354,18238,2932486,0,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
13,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6220_495_height_filtered.laz,0.9981993877918492,0.02112894922326325,3999489,16661,3914984,30,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
14,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6221_452_height_filtered.laz,0.0,1.0,47313,8659,0,8659,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
0,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6134_518_height_filtered.laz,0.9985022466300549,0.5361812392498702,3305774,10015,1533280,15,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
1,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6146_468_height_filtered.laz,0.9983530961791831,0.008474091545499385,3619031,78936,3588363,130,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
