11,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6211_474_height_filtered.laz,0.9856662933930571,0.08474600890471717,3029181,31255,2772470,448,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
12,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6219_494_height_filtered.laz,0.9808092992652703,0.0509488577949615,3227354,18238,3062924,350,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
13,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6220_495_height_filtered.laz,0.9994598163375548,0.01906418544969124,3999489,16661,3923242,9,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
14,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6221_452_height_filtered.laz,0.9717057396928052,0.7375351383340731,47313,8659,12418,245,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
0,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6134_518_height_filtered.laz,0.999600599101348,0.579933171475122,3305774,10015,1388646,4,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
1,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6146_468_height_filtered.laz,0.9994172494172494,0.022068614499295536,3619031,78936,3539164,46,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
2,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6161_465_height_filtered.laz,0.9935091277890467,0.31779026195613846,6931084,7395,4728453,48,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
3,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6162_472_height_filtered.laz,0.963665790606857,0.03177051075431081,3627987,67347,3512724,2447,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
4,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6163_472_height_filtered.laz,0.9574851799281957,0.08532721087235062,8897947,59885,8138710,2546,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
5,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_473_height_filtered.laz,0.9772762944489981,0.06373262827790838,11446476,57341,10716962,1303,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
6,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_474_height_filtered.laz,0.9858307210031348,0.07667015050278103,16966929,15950,15666072,226,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
7,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_475_height_filtered.laz,0.9825398177327315,0.18757976947118293,16146528,23482,13117766,410,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
8,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6168_458_height_filtered.laz,0.9884899614152116,0.42206722333225444,1643596,15291,949888,176,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
9,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6204_505_height_filtered.laz,0.9971124166085831,0.056015210492123324,6777427,10043,6397788,29,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
10,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6205_513_height_filtered.laz,0.9995924381603286,0.07178577367152572,8371408,63794,7770460,26,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
11,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6211_474_height_filtered.laz,0.9411294192929132,0.1541892016356896,3029181,31255,2562114,1840,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
12,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6219_494_height_filtered.laz,0.9763131922359908,0.053435724745410584,3227354,18238,3054898,432,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
