7,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_475_height_filtered.laz,0.9471935950941146,0.3454230531789868,16146528,23482,10569145,1240,{'canny_lower': 24, 'canny_upper': 172, 'cc_area': 5908, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 69, 'max_line_gap': 23, 'meters_around_line': 6, 'min_line_length': 4, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
8,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6168_458_height_filtered.laz,0.9593878752207181,0.8267116736716322,1643596,15291,284816,621,{'canny_lower': 24, 'canny_upper': 172, 'cc_area': 5908, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 69, 'max_line_gap': 23, 'meters_around_line': 6, 'min_line_length': 4, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
9,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6204_505_height_filtered.laz,0.9993029971124167,0.04149067190247857,6777427,10043,6496227,7,{'canny_lower': 24, 'canny_upper': 172, 'cc_area': 5908, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 69, 'max_line_gap': 23, 'meters_around_line': 6, 'min_line_length': 4, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
10,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6205_513_height_filtered.laz,0.9995924381603286,0.06786337495436845,8371408,63794,7803296,26,{'canny_lower': 24, 'canny_upper': 172, 'cc_area': 5908, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 69, 'max_line_gap': 23, 'meters_around_line': 6, 'min_line_length': 4, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
11,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6211_474_height_filtered.laz,0.9984642457206847,0.5201098910893737,3029181,31255,1453674,48,{'canny_lower': 24, 'canny_upper': 172, 'cc_area': 5908, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 69, 'max_line_gap': 23, 'meters_around_line': 6, 'min_line_length': 4, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
12,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6219_494_height_filtered.laz,0.9980809299265271,0.5414358015885459,3227354,18238,1479949,35,{'canny_lower': 24, 'canny_upper': 172, 'cc_area': 5908, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 69, 'max_line_gap': 23, 'meters_around_line': 6, 'min_line_length': 4, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
13,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6220_495_height_filtered.laz,0.9994598163375548,0.21665917821001635,3999489,16661,3132963,9,{'canny_lower': 24, 'canny_upper': 172, 'cc_area': 5908, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 69, 'max_line_gap': 23, 'meters_around_line': 6, 'min_line_length': 4, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
14,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6221_452_height_filtered.laz,0.9986141586788313,0.7256356603893221,47313,8659,12981,12,{'canny_lower': 24, 'canny_upper': 172, 'cc_area': 5908, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 69, 'max_line_gap': 23, 'meters_around_line': 6, 'min_line_length': 4, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
0,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6134_518_height_filtered.laz,0.999600599101348,0.8396139603009765,3305774,10015,530200,4,{'canny_lower': 28, 'canny_upper': 157, 'cc_area': 5342, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 71, 'max_line_gap': 21, 'meters_around_line': 5, 'min_line_length': 7, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
1,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6146_468_height_filtered.laz,0.9967695348130131,0.28449328010729946,3619031,78936,2589441,255,{'canny_lower': 28, 'canny_upper': 157, 'cc_area': 5342, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 71, 'max_line_gap': 21, 'meters_around_line': 5, 'min_line_length': 7, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
